"Y" "X1" "X2" "X3" "X4"
"1" 220 554 63 54 80
"2" 182 303 43 99 48
"3" 166 287 45 14 53
"4" 162 519 58 55 70
"5" 137 249 53 37 82
"6" 136 142 70 37 36
"7" 128 184 85 110 56
"8" 113 150 49 78 25
"9" 100 383 56 79 101
"10" 90 391 51 1 76
"11" 75 90 91 134 28
"12" 71 0 58 29 0
"13" 60 279 39 1 41
"14" 60 249 41 17 37
"15" 43 208 50 3 41
"16" 42 182 46 35 50
"17" 37 0 42 54 0
"18" 29 125 69 1 42
"19" 24 0 36 20 0
"20" 22 170 30 7 54
"21" 15 0 66 1 0
"22" 3 0 25 0 0
"23" 1 82 16 2 27
"24" 36 0 66 83 0
"25" 31 125 40 6 42
"26" 21 0 45 16 0
"27" 12 0 23 3 0
